"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"201",202,"E05000202","00AKGW","Highlands",NA,11847.322273,5088027.09601,3501,0.000688085958255824
"202",203,"E05000203","00AKGX","Jubilee",NA,11274.9395137,3928318.79295,1568,0.000399152941152537
"203",204,"E05000204","00AKGY","Lower Edmonton",NA,8720.17617346,2182467.77072,567,0.000259797650899911
"204",205,"E05000205","00AKGZ","Palmers Green",NA,6837.72852737,1942129.04009,905,0.000465983454916824
"205",206,"E05000206","00AKHA","Ponders End",NA,9391.86036726,3542952.098,841,0.000237372670229397
"206",207,"E05000207","00AKHB","Southbury",NA,8880.49314742,2867060.06318,1515,0.000528415856873317
"207",208,"E05000208","00AKHC","Southgate",NA,9428.89666675,2687233.66466,3409,0.00126859083555463
"208",209,"E05000209","00AKHD","Southgate Green",NA,8252.81541796,2613527.65769,2622,0.00100324172666582
"209",210,"E05000210","00AKHE","Town",NA,7284.46210945,2231375.40351,1250,0.000560192604986738
"210",211,"E05000211","00AKHF","Turkey Street",NA,6897.05020702,2261496.66824,1928,0.000852532761631334
"211",212,"E05000212","00AKHG","Upper Edmonton",NA,10144.6023812,2642413.74695,1010,0.000382226288808735
"212",213,"E05000213","00AKHH","Winchmore Hill",NA,9125.69289102,2760675.13969,3344,0.00121129790025361
"213",214,"E05000214","00ALGP","Abbey Wood",NA,7870.67457108,2652310.70683,690,0.000260150516385408
"214",215,"E05000215","00ALGQ","Blackheath Westcombe",NA,8712.29556373,2137475.456,672,0.000314389574910834
"215",216,"E05000216","00ALGR","Charlton",NA,7604.01834614,2033636.66216,757,0.000372239551971606
"216",217,"E05000217","00ALGS","Coldharbour and New Eltham",NA,7458.42924921,2549308.55274,1148,0.000450318184811239
"217",218,"E05000218","00ALGT","Eltham North",NA,8698.55702528,2550596.69515,1187,0.000465381297737635
"218",219,"E05000219","00ALGU","Eltham South",NA,10892.5825445,4630671.73285,912,0.000196947668202077
